signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_151452		16	AARS	-0.7571	0.458529680967331
LINCSCP_151452		23	ABCF1	0.0916	0.92852783203125
LINCSCP_151452		25	ABL1	0.8977	0.379466205835342
LINCSCP_151452		30	ACAA1	0.7306	0.474404454231262
LINCSCP_151452		39	ACAT2	0.70205	0.491840362548828
LINCSCP_151452		47	ACLY	-0.1008	0.921371638774872
LINCSCP_151452		102	ADAM10	0.14505	0.887051224708557
LINCSCP_151452		128	ADH5	-1.5684	0.124808959662914
LINCSCP_151452		142	PARP1	0.71855	0.481721788644791
LINCSCP_151452		154	ADRB2	0.02285	0.98214852809906
LINCSCP_151452		178	AGL	1.0128	0.321434706449509
LINCSCP_151452		207	AKT1	0.74555	0.465411722660065
LINCSCP_151452		211	ALAS1	0.9082	0.373919248580933
LINCSCP_151452		226	ALDOA	-1.0849	0.288208812475204
LINCSCP_151452		230	ALDOC	-1.648	0.106810502707958
LINCSCP_151452		291	SLC25A4	-1.29015	0.206647679209709
LINCSCP_151452		310	ANXA7	0.7944	0.43669918179512
LINCSCP_151452		323	APBB2	1.31645	0.197551533579826
LINCSCP_151452		329	BIRC2	-1.686	0.0989774763584137
LINCSCP_151452		332	BIRC5	-0.2416	0.812983930110931
LINCSCP_151452		348	APOE	0.71495	0.483919739723206
LINCSCP_151452		351	APP	0.26165	0.79778790473938
LINCSCP_151452		355	FAS	-1.1586	0.256726771593094
LINCSCP_151452		387	RHOA	-1.7305	0.0903958007693291
LINCSCP_151452		392	ARHGAP1	-0.461	0.651700496673584
LINCSCP_151452		427	ASAH1	-0.56605	0.579408407211304
LINCSCP_151452		466	ATF1	-0.39895	0.696057319641113
LINCSCP_151452		481	ATP1B1	0.38055	0.709422051906586
LINCSCP_151452		501	ALDH7A1	-0.7443	0.466159969568253
LINCSCP_151452		533	ATP6V0B	-0.3883	0.70378166437149
LINCSCP_151452		572	BAD	-0.5014	0.62345814704895
LINCSCP_151452		581	BAX	-0.5966	0.559114634990692
LINCSCP_151452		595	CCND1	-2.4731	0.0156013183295727
