signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_116847		16	AARS	0.651872	0.082127645611763
LINCSCP_116847		23	ABCF1	-0.146194	0.70382285118103
LINCSCP_116847		25	ABL1	0.321292	0.356671988964081
LINCSCP_116847		30	ACAA1	1.15216	0.0137962643057108
LINCSCP_116847		39	ACAT2	1.15791	0.0277020912617445
LINCSCP_116847		47	ACLY	0.603757	0.171801626682281
LINCSCP_116847		102	ADAM10	0.0601101	0.860930562019348
LINCSCP_116847		128	ADH5	-0.251016	0.42925289273262
LINCSCP_116847		142	PARP1	-0.411289	0.252638518810272
LINCSCP_116847		154	ADRB2	1.54273	0.255031675100327
LINCSCP_116847		178	AGL	0.184708	0.646659016609192
LINCSCP_116847		207	AKT1	1.24645	0.0774182453751564
LINCSCP_116847		211	ALAS1	0.0340724	0.948409199714661
LINCSCP_116847		226	ALDOA	0.10579	0.73008531332016
LINCSCP_116847		230	ALDOC	3.24362	0.0001251971261808
LINCSCP_116847		291	SLC25A4	0.729465	0.200423717498779
LINCSCP_116847		310	ANXA7	0.445205	0.242818430066109
LINCSCP_116847		323	APBB2	0.212923	0.61795711517334
LINCSCP_116847		329	BIRC2	-0.0889837	0.795754849910736
LINCSCP_116847		332	BIRC5	-0.528099	0.135507896542549
LINCSCP_116847		348	APOE	-0.731254	0.0851659327745438
LINCSCP_116847		351	APP	-0.245837	0.721593141555786
LINCSCP_116847		355	FAS	0.485553	0.453267782926559
LINCSCP_116847		387	RHOA	0.136133	0.668994009494781
LINCSCP_116847		392	ARHGAP1	-0.0646676	0.915478587150574
LINCSCP_116847		427	ASAH1	0.163048	0.62448126077652
LINCSCP_116847		466	ATF1	-0.3825	0.423952877521515
LINCSCP_116847		481	ATP1B1	0.577516	0.226766303181648
LINCSCP_116847		501	ALDH7A1	-0.479904	0.33579894900322
LINCSCP_116847		533	ATP6V0B	0.389971	0.254027217626572
LINCSCP_116847		572	BAD	0.227954	0.571499109268188
LINCSCP_116847		581	BAX	-0.286188	0.440576881170273
LINCSCP_116847		595	CCND1	-0.355919	0.286264449357986
LINCSCP_116847		596	BCL2	-0.30804	0.587623000144958
LINCSCP_116847		622	BDH1	-0.879429	0.0301834028214216
LINCSCP_116847		637	BID	-1.25117	0.0960243791341782
LINCSCP_116847		642	BLMH	-0.437198	0.197748675942421
LINCSCP_116847		644	BLVRA	0.246902	0.50158554315567
LINCSCP_116847		652	BMP4	-3.27956	0.18265163898468
LINCSCP_116847		664	BNIP3	-0.126968	0.716572105884552
LINCSCP_116847		665	BNIP3L	0.328755	0.37568062543869
LINCSCP_116847		670	BPHL	-0.19407	0.535646557807922
