signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_113661		16	AARS	0.352027	0.36294886469841
LINCSCP_113661		23	ABCF1	-0.554298	0.160167455673218
LINCSCP_113661		25	ABL1	-0.188846	0.632876634597778
LINCSCP_113661		30	ACAA1	-0.0513366	0.931935727596283
LINCSCP_113661		39	ACAT2	-0.413786	0.312108278274536
LINCSCP_113661		47	ACLY	3.29704	0.0879414603114128
LINCSCP_113661		102	ADAM10	1.85873	0.0038977384101599
LINCSCP_113661		128	ADH5	0.0361534	0.92141729593277
LINCSCP_113661		142	PARP1	-0.791363	0.0711036548018456
LINCSCP_113661		154	ADRB2	-0.661344	0.0900930613279343
LINCSCP_113661		178	AGL	2.94683	0.166482597589493
LINCSCP_113661		207	AKT1	-0.128925	0.717674553394318
LINCSCP_113661		211	ALAS1	1.4197	0.0066417423076927
LINCSCP_113661		226	ALDOA	1.0801	0.10183971375227
LINCSCP_113661		230	ALDOC	1.36306	0.019443167373538
LINCSCP_113661		291	SLC25A4	3.26364	0.0004868925316259
LINCSCP_113661		310	ANXA7	-0.216582	0.536319196224213
LINCSCP_113661		323	APBB2	0.472214	0.349689871072769
LINCSCP_113661		329	BIRC2	-1.43414	0.0258611030876637
LINCSCP_113661		332	BIRC5	-0.526298	0.17358772456646
LINCSCP_113661		348	APOE	-0.588576	0.382790356874466
LINCSCP_113661		351	APP	-0.259489	0.598068356513977
LINCSCP_113661		355	FAS	-1.17975	0.0242799799889326
LINCSCP_113661		387	RHOA	1.74736	0.0088630383834242
LINCSCP_113661		392	ARHGAP1	-0.233649	0.600473403930664
LINCSCP_113661		427	ASAH1	-0.229198	0.68226170539856
LINCSCP_113661		466	ATF1	-1.63426	0.010065590031445
LINCSCP_113661		481	ATP1B1	1.14956	0.0476183108985424
LINCSCP_113661		501	ALDH7A1	0.868219	0.0441151112318039
LINCSCP_113661		533	ATP6V0B	-0.072257	0.898377358913422
LINCSCP_113661		572	BAD	-0.0324839	0.911185741424561
LINCSCP_113661		581	BAX	1.27169	0.330161899328232
LINCSCP_113661		595	CCND1	0.221083	0.541164100170135
LINCSCP_113661		596	BCL2	0.645688	0.0965274125337601
LINCSCP_113661		622	BDH1	-0.200899	0.707895219326019
LINCSCP_113661		637	BID	0.0355274	0.917841017246246
LINCSCP_113661		642	BLMH	-0.149448	0.735292136669159
LINCSCP_113661		644	BLVRA	0.538587	0.3746238052845
LINCSCP_113661		652	BMP4	-0.720202	0.0790487006306648
LINCSCP_113661		664	BNIP3	0.881585	0.123581908643246
LINCSCP_113661		665	BNIP3L	0.127825	0.723202109336853
LINCSCP_113661		670	BPHL	0.144873	0.690433204174042
LINCSCP_113661		672	BRCA1	-1.23072	0.0093399686738848
LINCSCP_113661		695	BTK	0.636392	0.157770931720734
LINCSCP_113661		701	BUB1B	-0.333512	0.322360903024673
LINCSCP_113661		727	C5	0.144818	0.762499213218689
LINCSCP_113661		780	DDR1	-0.995708	0.0515436604619026
LINCSCP_113661		808	CALM3	0.46166	0.404331266880035
LINCSCP_113661		813	CALU	-0.365857	0.406275242567062
LINCSCP_113661		823	CAPN1	-1.23264	0.0117533206939697
LINCSCP_113661		831	CAST	-0.781296	0.0615083947777748
LINCSCP_113661		835	CASP2	-0.933418	0.151926383376122
LINCSCP_113661		836	CASP3	0.546152	0.273273557424545
LINCSCP_113661		840	CASP7	-1.3006	0.0207770112901926
LINCSCP_113661		843	CASP10	2.83064	0.247880786657333
LINCSCP_113661		847	CAT	-0.06616	0.826548039913177
LINCSCP_113661		868	CBLB	-0.559173	0.106200329959393
LINCSCP_113661		873	CBR1	0.575231	0.133378997445107
LINCSCP_113661		874	CBR3	-1.15296	0.0764778554439545
LINCSCP_113661		890	CCNA2	-0.713574	0.0602535456418991
LINCSCP_113661		891	CCNB1	-2.02453	0.0169168431311846
LINCSCP_113661		896	CCND3	0.659918	0.201489672064781
LINCSCP_113661		899	CCNF	-0.467763	0.17670826613903
LINCSCP_113661		902	CCNH	-0.777217	0.234303072094917
LINCSCP_113661		949	SCARB1	1.39527	0.0469395704567432
LINCSCP_113661		958	CD40	-0.422732	0.371838957071304
LINCSCP_113661		960	CD44	-0.401938	0.229475364089012
LINCSCP_113661		965	CD58	0.0952095	0.878948152065277
LINCSCP_113661		976	ADGRE5	-0.954521	0.0778088867664337
LINCSCP_113661		983	CDK1	-0.00242528	0.995230734348297
LINCSCP_113661		991	CDC20	-0.688956	0.0667710676789284
LINCSCP_113661		993	CDC25A	0.129034	0.678613424301147
LINCSCP_113661		994	CDC25B	-0.717278	0.0557861328125
LINCSCP_113661		998	CDC42	-0.149275	0.75079208612442
LINCSCP_113661		1001	CDH3	-1.57487	0.0485536567866802
LINCSCP_113661		1017	CDK2	-0.793111	0.0670345574617386
LINCSCP_113661		1019	CDK4	-1.00277	0.072149433195591
LINCSCP_113661		1021	CDK6	-0.294041	0.613386332988739
LINCSCP_113661		1022	CDK7	-0.0647691	0.871506810188293
LINCSCP_113661		1026	CDKN1A	2.75463	0.0014680825406685
LINCSCP_113661		1027	CDKN1B	-0.817143	0.0507073886692524
LINCSCP_113661		1029	CDKN2A	-0.868869	0.0350193455815315
LINCSCP_113661		1050	CEBPA	-0.773	0.305224388837814
LINCSCP_113661		1052	CEBPD	-0.822046	0.0430555939674377
LINCSCP_113661		1062	CENPE	-0.847405	0.150492206215858
LINCSCP_113661		1070	CETN3	0.103182	0.761227488517761
LINCSCP_113661		1111	CHEK1	-0.70485	0.0884100943803787
LINCSCP_113661		1123	CHN1	0.145271	0.884264886379242
LINCSCP_113661		1153	CIRBP	0.795488	0.143939331173897
LINCSCP_113661		1212	CLTB	-0.40756	0.396480351686478
LINCSCP_113661		1213	CLTC	0.738634	0.0770041570067406
LINCSCP_113661		1277	COL1A1	-0.890972	0.175742879509926
LINCSCP_113661		1282	COL4A1	-0.273698	0.564585149288177
LINCSCP_113661		1385	CREB1	1.57998	0.0876284837722778
LINCSCP_113661		1398	CRK	-0.147398	0.748855590820312
LINCSCP_113661		1399	CRKL	0.62936	0.081453800201416
LINCSCP_113661		1429	CRYZ	-0.555963	0.161968573927879
LINCSCP_113661		1445	CSK	0.129058	0.81811797618866
LINCSCP_113661		1452	CSNK1A1	-0.323132	0.556557893753052
LINCSCP_113661		1454	CSNK1E	0.557819	0.223660409450531
LINCSCP_113661		1459	CSNK2A2	0.587217	0.107555195689201
LINCSCP_113661		1465	CSRP1	-1.51757	0.358861714601517
LINCSCP_113661		1500	CTNND1	0.420832	0.241093173623085
LINCSCP_113661		1509	CTSD	-0.752745	0.214747801423073
LINCSCP_113661		1514	CTSL	-0.480995	0.18384213745594
LINCSCP_113661		1534	CYB561	0.150711	0.644871234893799
LINCSCP_113661		1605	DAG1	1.6329	0.0077076177112758
LINCSCP_113661		1616	DAXX	-2.97068	0.0026829664129763
LINCSCP_113661		1633	DCK	-0.275749	0.482385903596878
LINCSCP_113661		1635	DCTD	-0.532752	0.328928351402283
LINCSCP_113661		1643	DDB2	-0.995014	0.0208268947899342
LINCSCP_113661		1647	GADD45A	0.673325	0.0904039368033409
LINCSCP_113661		1662	DDX10	-1.38961	0.0546486414968967
LINCSCP_113661		1666	DECR1	-1.16939	0.133061274886131
LINCSCP_113661		1676	DFFA	-0.573531	0.194146931171417
LINCSCP_113661		1677	DFFB	-0.647908	0.123674497008324
LINCSCP_113661		1738	DLD	-0.0791295	0.845239400863647
LINCSCP_113661		1759	DNM1	0.808355	0.0652810633182526
LINCSCP_113661		1786	DNMT1	-0.303709	0.357791215181351
LINCSCP_113661		1788	DNMT3A	-0.261872	0.676890254020691
LINCSCP_113661		1802	DPH2	0.403009	0.67683470249176
LINCSCP_113661		1829	DSG2	0.186007	0.691166043281555
LINCSCP_113661		1831	TSC22D3	-0.58953	0.0949875637888908
LINCSCP_113661		1845	DUSP3	-1.18031	0.0175126399844885
LINCSCP_113661		1846	DUSP4	0.713604	0.0584861449897289
LINCSCP_113661		1848	DUSP6	0.958727	0.0264736544340849
LINCSCP_113661		1861	TOR1A	-0.689691	0.136257916688919
LINCSCP_113661		1870	E2F2	2.67513	0.318202316761017
LINCSCP_113661		1891	ECH1	-0.237118	0.454106777906418
LINCSCP_113661		1906	EDN1	-1.04331	0.0338035561144352
LINCSCP_113661		1950	EGF	-0.25724	0.576879799365997
LINCSCP_113661		1956	EGFR	-0.00923938	0.986108899116516
LINCSCP_113661		1958	EGR1	1.24873	0.0265251975506544
LINCSCP_113661		1978	EIF4EBP1	-0.326132	0.338396698236465
LINCSCP_113661		1981	EIF4G1	-0.416531	0.266340464353561
LINCSCP_113661		1983	EIF5	-2.21115	0.243696630001068
LINCSCP_113661		1994	ELAVL1	1.02124	0.0666290894150734
LINCSCP_113661		2017	CTTN	0.325748	0.441073328256607
LINCSCP_113661		2037	EPB41L2	0.957784	0.0487416945397854
LINCSCP_113661		2042	EPHA3	2.58936	0.341139554977417
LINCSCP_113661		2048	EPHB2	0.902066	0.18210668861866
LINCSCP_113661		2058	EPRS	0.0996998	0.739247560501099
LINCSCP_113661		2063	NR2F6	-1.07876	0.066193699836731
LINCSCP_113661		2064	ERBB2	-0.194819	0.60967606306076
LINCSCP_113661		2065	ERBB3	0.0106261	0.978316903114319
LINCSCP_113661		2109	ETFB	0.499991	0.137620136141777
LINCSCP_113661		2113	ETS1	-0.0686242	0.850728929042816
LINCSCP_113661		2115	ETV1	-0.0666651	0.835977971553802
LINCSCP_113661		2131	EXT1	0.0625597	0.89037698507309
LINCSCP_113661		2146	EZH2	-0.0648283	0.930686712265015
LINCSCP_113661		2184	FAH	0.339381	0.388669312000275
LINCSCP_113661		2185	PTK2B	-0.296637	0.39398729801178
LINCSCP_113661		2195	FAT1	-0.167098	0.698691308498383
LINCSCP_113661		2222	FDFT1	-0.883057	0.0835471078753471
LINCSCP_113661		2263	FGFR2	-0.392665	0.48565486073494
LINCSCP_113661		2264	FGFR4	5.73812	0.0453822091221809
LINCSCP_113661		2274	FHL2	0.439813	0.280015528202057
LINCSCP_113661		2288	FKBP4	0.0584313	0.917722225189209
LINCSCP_113661		2309	FOXO3	0.197786	0.626987814903259
LINCSCP_113661		2353	FOS	0.407726	0.517094135284424
LINCSCP_113661		2356	FPGS	0.165783	0.709761261940002
LINCSCP_113661		2523	FUT1	0.185761	0.746377646923065
LINCSCP_113661		2534	FYN	-0.63089	0.371164470911026
LINCSCP_113661		2542	SLC37A4	1.21382	0.0631342381238937
LINCSCP_113661		2548	GAA	0.106094	0.718554615974426
LINCSCP_113661		2553	GABPB1	-1.41425	0.0334121398627758
LINCSCP_113661		2582	GALE	1.12392	0.0268491730093956
LINCSCP_113661		2597	GAPDH	0.0	1.0
LINCSCP_113661		2624	GATA2	-0.532196	0.322477102279663
LINCSCP_113661		2625	GATA3	-0.0647789	0.827230393886566
LINCSCP_113661		2673	GFPT1	-0.0984327	0.812514364719391
LINCSCP_113661		2690	GHR	-0.249312	0.425828278064728
LINCSCP_113661		2736	GLI2	0.213093	0.574143469333649
LINCSCP_113661		2745	GLRX	1.06057	0.0290836971253157
LINCSCP_113661		2767	GNA11	1.55324	0.0060358163900673
LINCSCP_113661		2769	GNA15	-0.459283	0.244613513350487
LINCSCP_113661		2770	GNAI1	-0.212244	0.619408011436462
LINCSCP_113661		2771	GNAI2	0.463855	0.445346534252167
LINCSCP_113661		2778	GNAS	0.451797	0.288995802402496
LINCSCP_113661		2810	SFN	1.27883	0.0218427740037441
LINCSCP_113661		2817	GPC1	1.01209	0.033109538257122
LINCSCP_113661		2852	GPER1	1.41132	0.138923838734627
LINCSCP_113661		2886	GRB7	0.141519	0.816392362117767
LINCSCP_113661		2887	GRB10	-0.47356	0.166765317320824
LINCSCP_113661		2896	GRN	0.145179	0.723331928253174
LINCSCP_113661		2908	NR3C1	-1.3238	0.0324754156172276
LINCSCP_113661		2920	CXCL2	1.49428	0.0091238673776388
LINCSCP_113661		2946	GSTM2	-0.720819	0.289550364017487
LINCSCP_113661		2954	GSTZ1	-1.09534	0.0154303787276149
LINCSCP_113661		2956	MSH6	-1.32511	0.0088712265715003
LINCSCP_113661		2958	GTF2A2	0.764514	0.129038631916046
LINCSCP_113661		2961	GTF2E2	0.611908	0.131113409996033
LINCSCP_113661		3028	HSD17B10	0.229471	0.638939321041107
LINCSCP_113661		3033	HADH	-0.360368	0.402510344982147
LINCSCP_113661		3066	HDAC2	0.775814	0.07927006483078
LINCSCP_113661		3091	HIF1A	-1.60004	0.0152535336092114
LINCSCP_113661		3098	HK1	-0.073499	0.815237939357758
LINCSCP_113661		3108	HLA-DMA	-0.12686	0.811754107475281
