signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_111894		16	AARS	6.39404	0.0085428189486265
LINCSCP_111894		23	ABCF1	-0.255053	0.708990573883057
LINCSCP_111894		25	ABL1	2.08677	0.0329899787902832
LINCSCP_111894		30	ACAA1	-1.1331	0.23359902203083
LINCSCP_111894		39	ACAT2	-3.19208	0.150989904999733
LINCSCP_111894		47	ACLY	0.21295	0.705632150173187
LINCSCP_111894		102	ADAM10	1.33604	0.0786635652184486
LINCSCP_111894		128	ADH5	0.0509616	0.926786541938782
LINCSCP_111894		142	PARP1	0.364584	0.516344249248505
LINCSCP_111894		154	ADRB2	6.62348	0.0131353372707963
LINCSCP_111894		178	AGL	-0.81436	0.594617545604706
LINCSCP_111894		207	AKT1	0.609345	0.296192586421967
LINCSCP_111894		211	ALAS1	-1.55946	0.219276383519173
LINCSCP_111894		226	ALDOA	1.71999	0.0725828185677528
LINCSCP_111894		230	ALDOC	-1.26796	0.0740229263901711
LINCSCP_111894		291	SLC25A4	0.207419	0.750810503959656
LINCSCP_111894		310	ANXA7	0.665633	0.331970602273941
LINCSCP_111894		323	APBB2	0.113377	0.866655826568604
LINCSCP_111894		329	BIRC2	-2.44117	0.0225688461214304
LINCSCP_111894		332	BIRC5	0.931725	0.145456895232201
LINCSCP_111894		348	APOE	-2.94767	0.0326159484684467
LINCSCP_111894		351	APP	-3.41115	0.0187748353928328
LINCSCP_111894		355	FAS	1.45652	0.259642750024796
LINCSCP_111894		387	RHOA	5.73665	0.001266416744329
LINCSCP_111894		392	ARHGAP1	1.31152	0.198106527328491
LINCSCP_111894		427	ASAH1	-2.99726	0.0192252360284328
LINCSCP_111894		466	ATF1	1.49024	0.0696569383144379
LINCSCP_111894		481	ATP1B1	0.578809	0.349029928445816
LINCSCP_111894		501	ALDH7A1	-0.00488153	0.993919134140015
LINCSCP_111894		533	ATP6V0B	-0.0688923	0.9287029504776
