signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_164180		16	AARS	0.389585	0.552279233932495
LINCSCP_164180		23	ABCF1	0.644679	0.166515320539474
LINCSCP_164180		25	ABL1	-0.0949484	0.864207029342651
LINCSCP_164180		30	ACAA1	0.0419839	0.936864256858826
LINCSCP_164180		39	ACAT2	1.60655	0.0352680794894695
LINCSCP_164180		47	ACLY	0.362867	0.406051725149155
LINCSCP_164180		102	ADAM10	-0.292318	0.682812809944153
LINCSCP_164180		128	ADH5	-2.58517	0.0355287082493305
LINCSCP_164180		142	PARP1	-1.92361	0.0038047349080443
LINCSCP_164180		154	ADRB2	-0.192023	0.677392661571503
LINCSCP_164180		178	AGL	0.316615	0.683811366558075
LINCSCP_164180		207	AKT1	0.162329	0.741806983947754
LINCSCP_164180		211	ALAS1	0.938322	0.130755066871643
LINCSCP_164180		226	ALDOA	-0.381565	0.374235779047012
LINCSCP_164180		230	ALDOC	3.16893	0.00300765177235
LINCSCP_164180		291	SLC25A4	1.26807	0.0360778942704201
LINCSCP_164180		310	ANXA7	-1.3646	0.129534110426903
LINCSCP_164180		323	APBB2	0.493594	0.35522523522377
LINCSCP_164180		329	BIRC2	-1.04597	0.0466141737997532
LINCSCP_164180		332	BIRC5	-1.45041	0.0281754471361637
LINCSCP_164180		348	APOE	-0.885149	0.140315026044846
LINCSCP_164180		351	APP	0.0	1.0
LINCSCP_164180		355	FAS	-0.380927	0.375524520874023
LINCSCP_164180		387	RHOA	-0.123556	0.823443233966827
LINCSCP_164180		392	ARHGAP1	-0.938957	0.0772900134325027
LINCSCP_164180		427	ASAH1	-0.725614	0.203086823225021
LINCSCP_164180		466	ATF1	-2.27782	0.0076778028160333
LINCSCP_164180		481	ATP1B1	-0.786761	0.13463306427002
LINCSCP_164180		501	ALDH7A1	-0.808741	0.281074374914169
LINCSCP_164180		533	ATP6V0B	0.662328	0.199216082692146
LINCSCP_164180		572	BAD	-0.323267	0.695522546768188
LINCSCP_164180		581	BAX	0.671363	0.22104424238205
