signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_131479		16	AARS	0.52351	0.184733986854553
LINCSCP_131479		23	ABCF1	-0.599575	0.0813089087605476
LINCSCP_131479		25	ABL1	-0.0890205	0.772245109081268
LINCSCP_131479		30	ACAA1	0.650839	0.0385476462543011
LINCSCP_131479		39	ACAT2	2.07477	0.005220893304795
LINCSCP_131479		47	ACLY	3.84856	0.0154402777552605
LINCSCP_131479		102	ADAM10	0.0677258	0.885588467121124
LINCSCP_131479		128	ADH5	-2.35264	0.0979052633047104
LINCSCP_131479		142	PARP1	0.468932	0.117214530706406
LINCSCP_131479		154	ADRB2	-1.57745	0.0009159806650131
LINCSCP_131479		178	AGL	-0.40936	0.107276529073715
LINCSCP_131479		207	AKT1	-0.358338	0.2300935536623
LINCSCP_131479		211	ALAS1	-0.716604	0.0348327532410622
LINCSCP_131479		226	ALDOA	1.02168	0.0110741779208183
LINCSCP_131479		230	ALDOC	3.21857	0.0003227837150916
LINCSCP_131479		291	SLC25A4	0.435451	0.39733761548996
LINCSCP_131479		310	ANXA7	0.851148	0.0582104250788689
LINCSCP_131479		323	APBB2	0.656558	0.0644099861383438
LINCSCP_131479		329	BIRC2	-0.104695	0.756628751754761
LINCSCP_131479		332	BIRC5	-0.414272	0.151378095149994
LINCSCP_131479		348	APOE	-0.418465	0.481900572776794
LINCSCP_131479		351	APP	0.196735	0.816400289535522
LINCSCP_131479		355	FAS	-0.251629	0.665219187736511
LINCSCP_131479		387	RHOA	0.619514	0.15275451540947
LINCSCP_131479		392	ARHGAP1	-0.435364	0.12476297467947
LINCSCP_131479		427	ASAH1	0.604842	0.0466264635324478
LINCSCP_131479		466	ATF1	-0.724441	0.0638450384140015
LINCSCP_131479		481	ATP1B1	1.19919	0.0031279923859983
LINCSCP_131479		501	ALDH7A1	0.195139	0.535408020019531
LINCSCP_131479		533	ATP6V0B	0.249102	0.305448442697525
LINCSCP_131479		572	BAD	0.249797	0.351166963577271
LINCSCP_131479		581	BAX	-0.630859	0.175855159759521
LINCSCP_131479		595	CCND1	0.381859	0.117476508021355
LINCSCP_131479		596	BCL2	0.168754	0.607357144355774
LINCSCP_131479		622	BDH1	-0.253626	0.393449932336807
LINCSCP_131479		637	BID	0.295822	0.383400619029999
LINCSCP_131479		642	BLMH	0.0066489	0.975342035293579
LINCSCP_131479		644	BLVRA	0.646599	0.0282345283776522
LINCSCP_131479		652	BMP4	-0.289202	0.399085223674774
LINCSCP_131479		664	BNIP3	0.580165	0.0838307440280914
LINCSCP_131479		665	BNIP3L	1.36858	0.004428076557815
LINCSCP_131479		670	BPHL	0.0833213	0.824757277965546
LINCSCP_131479		672	BRCA1	0.133773	0.547527670860291
LINCSCP_131479		695	BTK	-0.206469	0.442860662937164
LINCSCP_131479		701	BUB1B	-0.602497	0.244267091155052
LINCSCP_131479		727	C5	-0.201885	0.398214161396027
LINCSCP_131479		780	DDR1	-0.636666	0.0410046614706516
LINCSCP_131479		808	CALM3	0.0809601	0.875594735145569
LINCSCP_131479		813	CALU	0.491577	0.0648906528949738
LINCSCP_131479		823	CAPN1	0.121002	0.638346612453461
LINCSCP_131479		831	CAST	-0.388903	0.114060789346695
LINCSCP_131479		835	CASP2	-0.396753	0.232012361288071
LINCSCP_131479		836	CASP3	-0.944094	0.0828824788331985
LINCSCP_131479		840	CASP7	-0.41856	0.13644090294838
LINCSCP_131479		843	CASP10	-0.667371	0.0873103365302086
LINCSCP_131479		847	CAT	-0.0442902	0.8724764585495
LINCSCP_131479		868	CBLB	-0.157222	0.466030895709991
LINCSCP_131479		873	CBR1	-0.602136	0.0912438333034515
LINCSCP_131479		874	CBR3	1.04724	0.0047040362842381
LINCSCP_131479		890	CCNA2	-0.153854	0.50610762834549
LINCSCP_131479		891	CCNB1	-0.754481	0.0684173330664635
LINCSCP_131479		896	CCND3	0.915189	0.0081818271428346
LINCSCP_131479		899	CCNF	0.304181	0.189509376883507
LINCSCP_131479		902	CCNH	-0.836055	0.372298747301102
LINCSCP_131479		949	SCARB1	0.665477	0.0752546861767769
LINCSCP_131479		958	CD40	-0.669476	0.076684333384037
LINCSCP_131479		960	CD44	-3.09556	0.220859512686729
LINCSCP_131479		965	CD58	0.126911	0.605911791324615
LINCSCP_131479		976	ADGRE5	-1.09811	0.0170159060508013
LINCSCP_131479		983	CDK1	-0.10046	0.679126024246216
LINCSCP_131479		991	CDC20	-1.34178	0.313005417585373
LINCSCP_131479		993	CDC25A	-0.000129838	0.999506652355194
LINCSCP_131479		994	CDC25B	0.543843	0.0907546728849411
LINCSCP_131479		998	CDC42	1.39539	0.0190990418195724
LINCSCP_131479		1001	CDH3	-0.400898	0.167020872235298
LINCSCP_131479		1017	CDK2	-0.434012	0.0973530858755112
LINCSCP_131479		1019	CDK4	-0.0813747	0.75824910402298
LINCSCP_131479		1021	CDK6	-0.385097	0.218251898884773
LINCSCP_131479		1022	CDK7	-0.456822	0.181448802351952
LINCSCP_131479		1026	CDKN1A	0.926259	0.0101094711571932
LINCSCP_131479		1027	CDKN1B	0.19451	0.412311524152756
LINCSCP_131479		1029	CDKN2A	-1.94133	0.0008607395575381
LINCSCP_131479		1050	CEBPA	0.596505	0.048570305109024
LINCSCP_131479		1052	CEBPD	-0.984454	0.0227547623217106
LINCSCP_131479		1062	CENPE	0.0563019	0.849017858505249
LINCSCP_131479		1070	CETN3	-0.532995	0.129873067140579
LINCSCP_131479		1111	CHEK1	-0.547166	0.0722819268703461
LINCSCP_131479		1123	CHN1	-0.641707	0.0270374473184347
LINCSCP_131479		1153	CIRBP	1.07031	0.0143457744270563
LINCSCP_131479		1212	CLTB	-0.233983	0.304815232753754
LINCSCP_131479		1213	CLTC	1.54955	0.0030622673220932
LINCSCP_131479		1277	COL1A1	-0.565801	0.0517927892506123
LINCSCP_131479		1282	COL4A1	-1.34841	0.0023103330750018
LINCSCP_131479		1385	CREB1	0.398936	0.139289766550064
LINCSCP_131479		1398	CRK	0.530375	0.0773492902517319
LINCSCP_131479		1399	CRKL	-0.236629	0.304883569478989
LINCSCP_131479		1429	CRYZ	-1.02546	0.0050116200000047
LINCSCP_131479		1445	CSK	-0.58267	0.0806573703885078
LINCSCP_131479		1452	CSNK1A1	-0.640035	0.0732120722532272
LINCSCP_131479		1454	CSNK1E	1.21234	0.0031071766279637
LINCSCP_131479		1459	CSNK2A2	-0.592048	0.0779538974165916
LINCSCP_131479		1465	CSRP1	0.941959	0.0086826346814632
LINCSCP_131479		1500	CTNND1	-0.0434364	0.89400327205658
LINCSCP_131479		1509	CTSD	-0.397622	0.146450251340866
LINCSCP_131479		1514	CTSL	-0.404314	0.145891949534416
LINCSCP_131479		1534	CYB561	-0.54988	0.315667390823364
LINCSCP_131479		1605	DAG1	1.22646	0.0053753238171339
LINCSCP_131479		1616	DAXX	-1.18643	0.0146302031353116
