signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_116141		16	AARS	0.0817405	0.863914489746094
LINCSCP_116141		23	ABCF1	-0.810177	0.167579248547554
LINCSCP_116141		25	ABL1	0.0577522	0.860884308815002
LINCSCP_116141		30	ACAA1	-0.578378	0.120180629193783
LINCSCP_116141		39	ACAT2	-0.417552	0.623419582843781
LINCSCP_116141		47	ACLY	0.531108	0.114993691444397
LINCSCP_116141		102	ADAM10	0.987454	0.0648284181952477
LINCSCP_116141		128	ADH5	0.123799	0.783864736557007
LINCSCP_116141		142	PARP1	-1.21277	0.0172677207738161
LINCSCP_116141		154	ADRB2	-0.223316	0.512716829776764
LINCSCP_116141		178	AGL	3.32466	0.179803162813187
LINCSCP_116141		207	AKT1	-0.1063	0.833815336227417
LINCSCP_116141		211	ALAS1	0.475226	0.470397800207138
LINCSCP_116141		226	ALDOA	0.12406	0.725432276725769
LINCSCP_116141		230	ALDOC	-0.29845	0.347421944141388
LINCSCP_116141		291	SLC25A4	1.34415	0.0219844747334719
LINCSCP_116141		310	ANXA7	-0.00196978	0.997011423110962
LINCSCP_116141		323	APBB2	-0.12001	0.770928919315338
LINCSCP_116141		329	BIRC2	-0.0825186	0.787299752235413
LINCSCP_116141		332	BIRC5	0.851128	0.154562056064606
LINCSCP_116141		348	APOE	-0.167737	0.831875562667847
LINCSCP_116141		351	APP	-0.384723	0.379221826791763
LINCSCP_116141		355	FAS	-0.092245	0.911136388778687
LINCSCP_116141		387	RHOA	0.692587	0.338081955909729
LINCSCP_116141		392	ARHGAP1	-0.622733	0.295986533164978
LINCSCP_116141		427	ASAH1	0.326972	0.477266848087311
LINCSCP_116141		466	ATF1	-0.00384012	0.993547081947327
LINCSCP_116141		481	ATP1B1	0.445403	0.288999974727631
LINCSCP_116141		501	ALDH7A1	0.316359	0.489182949066162
LINCSCP_116141		533	ATP6V0B	-1.06324	0.160107970237732
LINCSCP_116141		572	BAD	0.00237199	0.994788646697998
LINCSCP_116141		581	BAX	-0.0247206	0.946950376033783
LINCSCP_116141		595	CCND1	0.339913	0.31435427069664
LINCSCP_116141		596	BCL2	2.71669	0.15043643116951
LINCSCP_116141		622	BDH1	-0.249215	0.59027224779129
LINCSCP_116141		637	BID	-0.92483	0.106813348829746
LINCSCP_116141		642	BLMH	0.260789	0.530936896800995
LINCSCP_116141		644	BLVRA	0.185543	0.611823439598083
LINCSCP_116141		652	BMP4	-0.882377	0.0600462481379509
LINCSCP_116141		664	BNIP3	1.10643	0.0122097926214337
LINCSCP_116141		665	BNIP3L	0.349393	0.290519207715988
LINCSCP_116141		670	BPHL	0.513184	0.218211859464645
LINCSCP_116141		672	BRCA1	-0.72527	0.272685617208481
LINCSCP_116141		695	BTK	-0.641536	0.293568342924118
LINCSCP_116141		701	BUB1B	-0.462515	0.179473131895065
LINCSCP_116141		727	C5	0.534222	0.37497690320015
LINCSCP_116141		780	DDR1	0.253039	0.621754705905914
LINCSCP_116141		808	CALM3	-0.418261	0.356933414936066
LINCSCP_116141		813	CALU	-0.240028	0.634445369243622
LINCSCP_116141		823	CAPN1	-1.05842	0.0208413172513247
LINCSCP_116141		831	CAST	-0.287924	0.445027440786362
LINCSCP_116141		835	CASP2	1.03252	0.0320764631032944
LINCSCP_116141		836	CASP3	1.47191	0.0141893150284886
LINCSCP_116141		840	CASP7	0.378059	0.2541523873806
LINCSCP_116141		843	CASP10	-0.532206	0.117426216602325
LINCSCP_116141		847	CAT	-0.245507	0.479602217674255
LINCSCP_116141		868	CBLB	-0.384611	0.332115828990936
LINCSCP_116141		873	CBR1	0.475238	0.211738362908363
LINCSCP_116141		874	CBR3	-2.93578	0.137714132666588
LINCSCP_116141		890	CCNA2	0.477393	0.205242410302162
LINCSCP_116141		891	CCNB1	-0.795687	0.0564350597560406
LINCSCP_116141		896	CCND3	1.18257	0.0353517532348633
LINCSCP_116141		899	CCNF	0.114479	0.757077753543854
LINCSCP_116141		902	CCNH	-0.848111	0.182592183351517
LINCSCP_116141		949	SCARB1	-0.635428	0.27675062417984
LINCSCP_116141		958	CD40	-0.497258	0.184728771448135
LINCSCP_116141		960	CD44	-0.812509	0.0354759693145752
LINCSCP_116141		965	CD58	-1.00552	0.224853977560997
LINCSCP_116141		976	ADGRE5	-0.957431	0.0399635620415211
LINCSCP_116141		983	CDK1	0.933007	0.0300258044153452
LINCSCP_116141		991	CDC20	1.11313	0.0129577033221722
LINCSCP_116141		993	CDC25A	0.785877	0.0598234422504902
LINCSCP_116141		994	CDC25B	0.00331451	0.99185049533844
LINCSCP_116141		998	CDC42	0.920139	0.0427809916436672
LINCSCP_116141		1001	CDH3	0.474201	0.282597959041595
LINCSCP_116141		1017	CDK2	-0.206646	0.506208002567291
LINCSCP_116141		1019	CDK4	-1.42002	0.108344495296478
LINCSCP_116141		1021	CDK6	4.88761	0.0826746225357056
LINCSCP_116141		1022	CDK7	0.611125	0.0804413706064224
LINCSCP_116141		1026	CDKN1A	-0.206718	0.571870088577271
LINCSCP_116141		1027	CDKN1B	0.193564	0.630325555801392
LINCSCP_116141		1029	CDKN2A	-1.65992	0.0046786307357251
LINCSCP_116141		1050	CEBPA	-0.535513	0.230033308267593
LINCSCP_116141		1052	CEBPD	-0.0501538	0.866672158241272
LINCSCP_116141		1062	CENPE	0.845259	0.0811763182282448
LINCSCP_116141		1070	CETN3	0.590794	0.137334257364273
LINCSCP_116141		1111	CHEK1	0.0434444	0.915291726589203
LINCSCP_116141		1123	CHN1	0.145457	0.762055158615112
LINCSCP_116141		1153	CIRBP	-0.295293	0.600616157054901
LINCSCP_116141		1212	CLTB	0.0410503	0.9581538438797
LINCSCP_116141		1213	CLTC	0.881102	0.0277011636644602
LINCSCP_116141		1277	COL1A1	0.0	1.0
LINCSCP_116141		1282	COL4A1	0.00986317	0.979426562786102
LINCSCP_116141		1385	CREB1	1.15117	0.234826028347015
LINCSCP_116141		1398	CRK	-4.21769	0.156038582324982
LINCSCP_116141		1399	CRKL	-0.0241565	0.937433660030365
LINCSCP_116141		1429	CRYZ	-0.378822	0.563169419765472
LINCSCP_116141		1445	CSK	-0.0492074	0.912427246570587
LINCSCP_116141		1452	CSNK1A1	0.569693	0.100535020232201
LINCSCP_116141		1454	CSNK1E	0.449407	0.210881575942039
LINCSCP_116141		1459	CSNK2A2	-0.845079	0.0916073024272919
LINCSCP_116141		1465	CSRP1	0.744141	0.119479648768902
LINCSCP_116141		1500	CTNND1	0.602831	0.102596260607243
LINCSCP_116141		1509	CTSD	-0.951333	0.0256144907325506
LINCSCP_116141		1514	CTSL	0.574253	0.227433905005455
LINCSCP_116141		1534	CYB561	0.0472683	0.934172511100769
LINCSCP_116141		1605	DAG1	0.545706	0.181479379534721
LINCSCP_116141		1616	DAXX	-0.85409	0.0388410985469818
LINCSCP_116141		1633	DCK	-3.32487	0.21192854642868
LINCSCP_116141		1635	DCTD	0.156397	0.612343370914459
LINCSCP_116141		1643	DDB2	-1.52346	0.0266292113810778
LINCSCP_116141		1647	GADD45A	0.17105	0.595420897006989
LINCSCP_116141		1662	DDX10	-0.774374	0.0573275275528431
LINCSCP_116141		1666	DECR1	0.165403	0.77410227060318
LINCSCP_116141		1676	DFFA	-0.194859	0.710014939308167
LINCSCP_116141		1677	DFFB	-1.29618	0.0184265393763781
LINCSCP_116141		1738	DLD	0.347275	0.274223804473877
LINCSCP_116141		1759	DNM1	0.196258	0.581680834293365
LINCSCP_116141		1786	DNMT1	0.843703	0.0328017845749855
LINCSCP_116141		1788	DNMT3A	-0.407865	0.259575247764587
LINCSCP_116141		1802	DPH2	-0.171764	0.56780481338501
LINCSCP_116141		1829	DSG2	1.55646	0.194262787699699
LINCSCP_116141		1831	TSC22D3	-0.828606	0.0644896030426025
LINCSCP_116141		1845	DUSP3	0.0458575	0.884826362133026
LINCSCP_116141		1846	DUSP4	-0.54625	0.120411917567253
LINCSCP_116141		1848	DUSP6	0.189236	0.539565324783325
LINCSCP_116141		1861	TOR1A	-0.560097	0.436718672513962
LINCSCP_116141		1870	E2F2	-0.157403	0.645146310329437
LINCSCP_116141		1891	ECH1	-0.623209	0.0942420735955238
LINCSCP_116141		1906	EDN1	0.130237	0.739782512187958
LINCSCP_116141		1950	EGF	-0.415153	0.576568722724915
LINCSCP_116141		1956	EGFR	0.838263	0.117042571306229
LINCSCP_116141		1958	EGR1	2.02944	0.041839599609375
LINCSCP_116141		1978	EIF4EBP1	-0.970606	0.0658989995718002
LINCSCP_116141		1981	EIF4G1	0.193218	0.632555782794952
LINCSCP_116141		1983	EIF5	0.401881	0.242801293730736
LINCSCP_116141		1994	ELAVL1	-0.0819808	0.875896036624908
LINCSCP_116141		2017	CTTN	0.146177	0.657976031303406
LINCSCP_116141		2037	EPB41L2	0.812024	0.0614896453917027
LINCSCP_116141		2042	EPHA3	-0.210676	0.491881906986237
LINCSCP_116141		2048	EPHB2	1.18382	0.0683983266353607
LINCSCP_116141		2058	EPRS	-1.00888	0.0211978815495968
LINCSCP_116141		2063	NR2F6	-2.77657	0.166052222251892
LINCSCP_116141		2064	ERBB2	0.13398	0.733382642269135
LINCSCP_116141		2065	ERBB3	-0.419389	0.710767686367035
LINCSCP_116141		2109	ETFB	0.351181	0.477741807699203
LINCSCP_116141		2113	ETS1	0.0207745	0.949040412902832
LINCSCP_116141		2115	ETV1	3.85109	0.210695922374725
LINCSCP_116141		2131	EXT1	0.00663565	0.98296856880188
LINCSCP_116141		2146	EZH2	0.575395	0.105963230133057
LINCSCP_116141		2184	FAH	0.49285	0.16827604174614
LINCSCP_116141		2185	PTK2B	-0.865039	0.0901968255639076
LINCSCP_116141		2195	FAT1	0.283509	0.555108428001404
LINCSCP_116141		2222	FDFT1	-0.137489	0.853171646595001
LINCSCP_116141		2263	FGFR2	-0.723785	0.0795151218771935
LINCSCP_116141		2264	FGFR4	-0.27632	0.423092007637024
LINCSCP_116141		2274	FHL2	0.393667	0.404802948236465
LINCSCP_116141		2288	FKBP4	-0.492189	0.284240424633026
LINCSCP_116141		2309	FOXO3	-0.061211	0.868839025497437
LINCSCP_116141		2353	FOS	-1.23075	0.0097235944122076
LINCSCP_116141		2356	FPGS	-0.81935	0.0356676317751408
LINCSCP_116141		2523	FUT1	-0.338984	0.326508164405823
LINCSCP_116141		2534	FYN	-1.4336	0.0064621227793395
LINCSCP_116141		2542	SLC37A4	-0.469746	0.276408284902573
LINCSCP_116141		2548	GAA	-1.36198	0.051276933401823
LINCSCP_116141		2553	GABPB1	-0.00389745	0.992855072021484
LINCSCP_116141		2582	GALE	-0.433476	0.196262612938881
LINCSCP_116141		2597	GAPDH	0.0	1.0
LINCSCP_116141		2624	GATA2	0.54194	0.303227454423904
LINCSCP_116141		2625	GATA3	-0.15181	0.823958873748779
LINCSCP_116141		2673	GFPT1	0.316779	0.450491636991501
