signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_283919		16	AARS	-0.339019	0.550357103347778
LINCSCP_283919		23	ABCF1	0.402772	0.21659679710865
LINCSCP_283919		25	ABL1	-2.04437	0.240358218550682
LINCSCP_283919		30	ACAA1	1.54535	0.0826511159539223
LINCSCP_283919		39	ACAT2	0.522877	0.228861510753632
LINCSCP_283919		47	ACLY	-0.180785	0.630024909973145
LINCSCP_283919		102	ADAM10	-0.134355	0.729641795158386
LINCSCP_283919		128	ADH5	-0.574339	0.361240088939667
LINCSCP_283919		142	PARP1	0.128326	0.718593120574951
LINCSCP_283919		154	ADRB2	-0.0396889	0.915241062641144
LINCSCP_283919		178	AGL	1.47537	0.0575558803975582
LINCSCP_283919		207	AKT1	-0.570152	0.221088454127312
LINCSCP_283919		211	ALAS1	0.772451	0.0792552158236504
LINCSCP_283919		226	ALDOA	-0.709069	0.110118858516216
LINCSCP_283919		230	ALDOC	-0.375619	0.292964160442352
LINCSCP_283919		291	SLC25A4	-0.842074	0.0579923205077648
LINCSCP_283919		310	ANXA7	-0.771112	0.13096196949482
LINCSCP_283919		323	APBB2	-0.148911	0.630507469177246
LINCSCP_283919		329	BIRC2	-1.63565	0.0516839362680912
LINCSCP_283919		332	BIRC5	0.134351	0.744299411773682
LINCSCP_283919		348	APOE	0.0480843	0.870453000068665
LINCSCP_283919		351	APP	0.193853	0.535584568977356
LINCSCP_283919		355	FAS	-0.0356863	0.932741403579712
LINCSCP_283919		387	RHOA	0.0130773	0.977204263210297
LINCSCP_283919		392	ARHGAP1	-0.536541	0.416367471218109
LINCSCP_283919		427	ASAH1	-0.357958	0.43739652633667
LINCSCP_283919		466	ATF1	-0.323049	0.355238765478134
LINCSCP_283919		481	ATP1B1	-0.816771	0.368976056575775
LINCSCP_283919		501	ALDH7A1	0.3079	0.339283674955368
LINCSCP_283919		533	ATP6V0B	-0.338203	0.300296694040298
LINCSCP_283919		572	BAD	-0.422249	0.314247816801071
LINCSCP_283919		581	BAX	0.185262	0.65266489982605
LINCSCP_283919		595	CCND1	-0.20313	0.545922040939331
LINCSCP_283919		596	BCL2	0.766788	0.0808703079819679
LINCSCP_283919		622	BDH1	-0.180376	0.658821403980255
LINCSCP_283919		637	BID	0.579566	0.132091253995895
LINCSCP_283919		642	BLMH	-0.522902	0.180214419960976
LINCSCP_283919		644	BLVRA	-0.541368	0.185256123542786
LINCSCP_283919		652	BMP4	0.679781	0.0797843709588051
LINCSCP_283919		664	BNIP3	-0.0947206	0.828781425952911
LINCSCP_283919		665	BNIP3L	-0.401176	0.279707849025726
LINCSCP_283919		670	BPHL	1.13932	0.0060386722907424
LINCSCP_283919		672	BRCA1	0.859927	0.047410074621439
LINCSCP_283919		695	BTK	0.733163	0.168175145983696
LINCSCP_283919		701	BUB1B	0.621725	0.0891067907214165
LINCSCP_283919		727	C5	0.0119337	0.978065609931946
LINCSCP_283919		780	DDR1	0.693671	0.0732909664511681
LINCSCP_283919		808	CALM3	0.555757	0.105797320604324
LINCSCP_283919		813	CALU	-0.599651	0.15451692044735
LINCSCP_283919		823	CAPN1	0.557674	0.126446798443794
LINCSCP_283919		831	CAST	0.453681	0.297287583351135
LINCSCP_283919		835	CASP2	0.0868595	0.939982116222382
LINCSCP_283919		836	CASP3	-0.0777218	0.833062589168549
LINCSCP_283919		840	CASP7	-0.230426	0.533263325691223
LINCSCP_283919		843	CASP10	0.582779	0.221375331282616
LINCSCP_283919		847	CAT	0.812189	0.0247234627604485
LINCSCP_283919		868	CBLB	-0.11638	0.764552652835846
LINCSCP_283919		873	CBR1	-0.165184	0.653832614421844
LINCSCP_283919		874	CBR3	-0.477996	0.275646716356277
LINCSCP_283919		890	CCNA2	0.731656	0.096547968685627
LINCSCP_283919		891	CCNB1	0.836784	0.072158046066761
LINCSCP_283919		896	CCND3	-1.30849	0.0499288886785507
LINCSCP_283919		899	CCNF	-0.428032	0.213795095682144
LINCSCP_283919		902	CCNH	-0.0972355	0.76725709438324
LINCSCP_283919		949	SCARB1	0.342409	0.412928700447083
LINCSCP_283919		958	CD40	0.502928	0.284417688846588
LINCSCP_283919		960	CD44	-0.161914	0.714736700057983
LINCSCP_283919		965	CD58	0.544512	0.241458997130394
LINCSCP_283919		976	ADGRE5	-0.741576	0.0372043550014496
LINCSCP_283919		983	CDK1	0.537475	0.111803703010082
LINCSCP_283919		991	CDC20	0.719676	0.0753327906131744
LINCSCP_283919		993	CDC25A	0.090227	0.794984757900238
LINCSCP_283919		994	CDC25B	-0.689474	0.0588222183287144
LINCSCP_283919		998	CDC42	-0.000299362	0.999438583850861
LINCSCP_283919		1001	CDH3	2.0692	0.002066160319373
LINCSCP_283919		1017	CDK2	-0.0415177	0.895311653614044
LINCSCP_283919		1019	CDK4	-0.846076	0.0210979990661144
LINCSCP_283919		1021	CDK6	-0.912751	0.0247887950390577
LINCSCP_283919		1022	CDK7	1.30062	0.0356793254613876
LINCSCP_283919		1026	CDKN1A	-0.37781	0.247980505228043
LINCSCP_283919		1027	CDKN1B	-0.0879975	0.78652548789978
LINCSCP_283919		1029	CDKN2A	-0.336424	0.291728973388672
LINCSCP_283919		1050	CEBPA	-0.536638	0.264955013990402
LINCSCP_283919		1052	CEBPD	-0.923737	0.45828565955162
LINCSCP_283919		1062	CENPE	0.522013	0.246842056512833
LINCSCP_283919		1070	CETN3	0.299558	0.523532748222351
LINCSCP_283919		1111	CHEK1	0.763874	0.214845284819603
LINCSCP_283919		1123	CHN1	0.530968	0.18125906586647
LINCSCP_283919		1153	CIRBP	-0.809872	0.053610447794199
LINCSCP_283919		1212	CLTB	-0.284942	0.394711345434189
LINCSCP_283919		1213	CLTC	-0.781514	0.0928933769464493
LINCSCP_283919		1277	COL1A1	-0.301041	0.396287381649017
LINCSCP_283919		1282	COL4A1	-0.0809106	0.776948034763336
LINCSCP_283919		1385	CREB1	-0.335613	0.424302339553833
LINCSCP_283919		1398	CRK	-0.607899	0.10201957821846
LINCSCP_283919		1399	CRKL	1.03666	0.0243636406958103
LINCSCP_283919		1429	CRYZ	-0.214679	0.643293261528015
LINCSCP_283919		1445	CSK	-1.17766	0.0272028967738152
LINCSCP_283919		1452	CSNK1A1	-2.3062	0.0249548610299826
LINCSCP_283919		1454	CSNK1E	-0.368411	0.383866041898727
LINCSCP_283919		1459	CSNK2A2	0.439112	0.360847264528275
LINCSCP_283919		1465	CSRP1	-0.227081	0.476139903068542
LINCSCP_283919		1500	CTNND1	0.707228	0.046622633934021
LINCSCP_283919		1509	CTSD	-0.629371	0.0608610920608044
