signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_86149		16	AARS	0.626861	0.0769337490200996
LINCSCP_86149		23	ABCF1	0.428043	0.269195944070816
LINCSCP_86149		25	ABL1	-0.466201	0.453578680753708
LINCSCP_86149		30	ACAA1	-0.0427343	0.896900177001953
LINCSCP_86149		39	ACAT2	0.359362	0.246972516179085
LINCSCP_86149		47	ACLY	0.923514	0.0208496879786253
LINCSCP_86149		102	ADAM10	0.400081	0.194556444883347
LINCSCP_86149		128	ADH5	-0.419708	0.198224276304245
LINCSCP_86149		142	PARP1	1.02499	0.0091229546815156
LINCSCP_86149		154	ADRB2	4.53241	0.0904104560613632
LINCSCP_86149		178	AGL	0.102495	0.693304896354675
LINCSCP_86149		207	AKT1	0.959616	0.0437184683978558
LINCSCP_86149		211	ALAS1	-0.11198	0.719373464584351
LINCSCP_86149		226	ALDOA	0.17165	0.643101632595062
LINCSCP_86149		230	ALDOC	-0.100159	0.761329174041748
LINCSCP_86149		291	SLC25A4	0.691032	0.0634543001651764
LINCSCP_86149		310	ANXA7	-0.334227	0.269445806741714
LINCSCP_86149		323	APBB2	-0.300553	0.402662396430969
LINCSCP_86149		329	BIRC2	0.293968	0.485654383897781
LINCSCP_86149		332	BIRC5	0.256232	0.405606389045715
LINCSCP_86149		348	APOE	-0.039002	0.898032128810883
LINCSCP_86149		351	APP	-1.54459	0.0436570607125759
LINCSCP_86149		355	FAS	0.781342	0.0316187143325806
LINCSCP_86149		387	RHOA	0.104204	0.697545409202576
LINCSCP_86149		392	ARHGAP1	0.85295	0.0242801997810602
LINCSCP_86149		427	ASAH1	-0.74511	0.119394935667515
LINCSCP_86149		466	ATF1	0.0983516	0.78472900390625
LINCSCP_86149		481	ATP1B1	0.584467	0.072151817381382
LINCSCP_86149		501	ALDH7A1	-0.704363	0.0655473321676254
LINCSCP_86149		533	ATP6V0B	-0.462293	0.251785576343536
LINCSCP_86149		572	BAD	0.192051	0.711263716220856
LINCSCP_86149		581	BAX	-0.00280169	0.995534956455231
LINCSCP_86149		595	CCND1	-0.433814	0.175641313195229
LINCSCP_86149		596	BCL2	4.21498	0.124723628163338
LINCSCP_86149		622	BDH1	0.555056	0.15337847173214
LINCSCP_86149		637	BID	-0.406218	0.230639159679413
LINCSCP_86149		642	BLMH	0.509278	0.252593219280243
LINCSCP_86149		644	BLVRA	-0.239799	0.585586905479431
LINCSCP_86149		652	BMP4	-0.640635	0.0505936443805695
LINCSCP_86149		664	BNIP3	0.880838	0.0513193532824516
LINCSCP_86149		665	BNIP3L	0.527333	0.175741478800774
LINCSCP_86149		670	BPHL	-0.528228	0.176316648721695
LINCSCP_86149		672	BRCA1	-0.291147	0.32337275147438
LINCSCP_86149		695	BTK	0.287987	0.520540952682495
LINCSCP_86149		701	BUB1B	-0.434828	0.195739671587944
LINCSCP_86149		727	C5	-0.60846	0.0645240768790245
LINCSCP_86149		780	DDR1	-0.246223	0.43487885594368
LINCSCP_86149		808	CALM3	0.115307	0.770229160785675
LINCSCP_86149		813	CALU	0.488753	0.1376091837883
LINCSCP_86149		823	CAPN1	-0.00380912	0.98824006319046
LINCSCP_86149		831	CAST	-5.00314	0.0519043952226639
LINCSCP_86149		835	CASP2	0.855615	0.0179658886045218
LINCSCP_86149		836	CASP3	0.229447	0.58571720123291
LINCSCP_86149		840	CASP7	-0.0715486	0.781348645687103
LINCSCP_86149		843	CASP10	-0.703451	0.0327894687652588
LINCSCP_86149		847	CAT	-0.684691	0.0842587500810623
LINCSCP_86149		868	CBLB	-0.700527	0.0447963736951351
LINCSCP_86149		873	CBR1	0.0619295	0.871107399463654
LINCSCP_86149		874	CBR3	-0.654081	0.0411461256444454
LINCSCP_86149		890	CCNA2	0.171533	0.562399804592133
LINCSCP_86149		891	CCNB1	-0.528373	0.244750425219536
LINCSCP_86149		896	CCND3	0.266648	0.433123558759689
LINCSCP_86149		899	CCNF	0.275416	0.462275564670563
LINCSCP_86149		902	CCNH	-0.679353	0.0621968470513821
LINCSCP_86149		949	SCARB1	-0.314197	0.371848225593567
LINCSCP_86149		958	CD40	-0.869628	0.0275509264320135
LINCSCP_86149		960	CD44	-4.29886	0.0860338285565376
LINCSCP_86149		965	CD58	0.0229174	0.933909296989441
LINCSCP_86149		976	ADGRE5	0.334507	0.482184737920761
LINCSCP_86149		983	CDK1	0.104288	0.736898422241211
LINCSCP_86149		991	CDC20	0.28195	0.334488600492477
LINCSCP_86149		993	CDC25A	0.86974	0.0370616726577282
LINCSCP_86149		994	CDC25B	0.818822	0.0701685175299644
LINCSCP_86149		998	CDC42	-0.421848	0.199698954820633
LINCSCP_86149		1001	CDH3	0.237048	0.410532534122467
LINCSCP_86149		1017	CDK2	0.402242	0.286495834589005
LINCSCP_86149		1019	CDK4	0.75737	0.0409987568855286
LINCSCP_86149		1021	CDK6	0.00872093	0.987431228160858
LINCSCP_86149		1022	CDK7	-0.0831157	0.855229556560516
LINCSCP_86149		1026	CDKN1A	0.0994904	0.748189091682434
LINCSCP_86149		1027	CDKN1B	-0.0231494	0.942140161991119
LINCSCP_86149		1029	CDKN2A	-0.692818	0.0895582586526871
LINCSCP_86149		1050	CEBPA	-0.629553	0.0672494098544121
LINCSCP_86149		1052	CEBPD	-0.228615	0.402151137590408
LINCSCP_86149		1062	CENPE	1.89171	0.0673906877636909
LINCSCP_86149		1070	CETN3	-0.481528	0.317383974790573
LINCSCP_86149		1111	CHEK1	0.887179	0.274702399969101
LINCSCP_86149		1123	CHN1	-0.1445	0.629476070404053
LINCSCP_86149		1153	CIRBP	1.43119	0.0142783531919122
LINCSCP_86149		1212	CLTB	0.301908	0.377390384674072
LINCSCP_86149		1213	CLTC	0.141484	0.645600318908691
LINCSCP_86149		1277	COL1A1	0.618874	0.114666976034641
LINCSCP_86149		1282	COL4A1	0.218594	0.545814692974091
LINCSCP_86149		1385	CREB1	0.165938	0.699488401412964
LINCSCP_86149		1398	CRK	0.023425	0.92803281545639
LINCSCP_86149		1399	CRKL	-0.152324	0.742328226566315
LINCSCP_86149		1429	CRYZ	-0.803894	0.0398487970232964
LINCSCP_86149		1445	CSK	0.0507129	0.887529015541077
LINCSCP_86149		1452	CSNK1A1	-1.49061	0.0328724682331085
LINCSCP_86149		1454	CSNK1E	0.0929777	0.815626382827759
LINCSCP_86149		1459	CSNK2A2	-0.394433	0.228096082806587
LINCSCP_86149		1465	CSRP1	0.541414	0.0802867263555527
LINCSCP_86149		1500	CTNND1	-1.2528	0.0371747128665447
LINCSCP_86149		1509	CTSD	-0.768594	0.0382405482232571
LINCSCP_86149		1514	CTSL	-1.13315	0.0696865320205688
LINCSCP_86149		1534	CYB561	0.0823178	0.875144422054291
LINCSCP_86149		1605	DAG1	0.193659	0.474722802639008
LINCSCP_86149		1616	DAXX	-0.309943	0.312303394079208
LINCSCP_86149		1633	DCK	0.179031	0.519906580448151
LINCSCP_86149		1635	DCTD	0.265907	0.6132932305336
LINCSCP_86149		1643	DDB2	0.214002	0.587788641452789
LINCSCP_86149		1647	GADD45A	0.466612	0.12158228456974
LINCSCP_86149		1662	DDX10	0.227927	0.480896800756454
LINCSCP_86149		1666	DECR1	-0.436187	0.29783296585083
LINCSCP_86149		1676	DFFA	-0.933487	0.059038482606411
LINCSCP_86149		1677	DFFB	-1.13919	0.0198506228625774
LINCSCP_86149		1738	DLD	0.0448357	0.896543264389038
LINCSCP_86149		1759	DNM1	-0.445025	0.264751344919205
LINCSCP_86149		1786	DNMT1	0.527847	0.146103799343109
LINCSCP_86149		1788	DNMT3A	-0.431081	0.191706314682961
LINCSCP_86149		1802	DPH2	0.342903	0.251190274953842
LINCSCP_86149		1829	DSG2	0.502634	0.325102180242538
LINCSCP_86149		1831	TSC22D3	-0.72654	0.0330659337341785
LINCSCP_86149		1845	DUSP3	-0.506912	0.280946612358093
LINCSCP_86149		1846	DUSP4	0.443623	0.213028654456139
LINCSCP_86149		1848	DUSP6	-0.366985	0.243571385741234
LINCSCP_86149		1861	TOR1A	0.292716	0.400371581315994
LINCSCP_86149		1870	E2F2	-0.168208	0.5727179646492
LINCSCP_86149		1891	ECH1	-0.606763	0.0972637087106705
LINCSCP_86149		1906	EDN1	-0.206743	0.439425379037857
LINCSCP_86149		1950	EGF	-0.728076	0.110958829522133
LINCSCP_86149		1956	EGFR	-0.0466516	0.889633238315582
LINCSCP_86149		1958	EGR1	0.292938	0.283108234405518
LINCSCP_86149		1978	EIF4EBP1	-0.483559	0.249190211296082
LINCSCP_86149		1981	EIF4G1	-0.419484	0.533611059188843
LINCSCP_86149		1983	EIF5	0.0261066	0.918405294418335
LINCSCP_86149		1994	ELAVL1	0.340882	0.247434169054031
LINCSCP_86149		2017	CTTN	0.134625	0.752236366271973
LINCSCP_86149		2037	EPB41L2	0.148348	0.683514952659607
LINCSCP_86149		2042	EPHA3	-0.199254	0.484143078327179
LINCSCP_86149		2048	EPHB2	0.683702	0.0362245813012123
