signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_81713		16	AARS	0.280681	0.400494962930679
LINCSCP_81713		23	ABCF1	0.122784	0.777571141719818
LINCSCP_81713		25	ABL1	0.509975	0.204059168696404
LINCSCP_81713		30	ACAA1	-0.270696	0.440915018320084
LINCSCP_81713		39	ACAT2	0.31046	0.37261563539505
LINCSCP_81713		47	ACLY	0.43822	0.301777303218842
LINCSCP_81713		102	ADAM10	5.31844	0.0531656295061111
LINCSCP_81713		128	ADH5	0.503938	0.179704010486603
LINCSCP_81713		142	PARP1	1.21002	0.016362726688385
LINCSCP_81713		154	ADRB2	-1.0116	0.04397789016366
LINCSCP_81713		178	AGL	0.0912931	0.844790816307068
LINCSCP_81713		207	AKT1	0.710183	0.152681618928909
LINCSCP_81713		211	ALAS1	0.513017	0.313157588243484
LINCSCP_81713		226	ALDOA	1.22709	0.0320818088948727
LINCSCP_81713		230	ALDOC	-0.702992	0.142746806144714
LINCSCP_81713		291	SLC25A4	-1.25054	0.0273712333291769
LINCSCP_81713		310	ANXA7	-0.54841	0.204496338963509
LINCSCP_81713		323	APBB2	-0.385962	0.372996777296066
LINCSCP_81713		329	BIRC2	-0.260753	0.548267900943756
LINCSCP_81713		332	BIRC5	-0.0942777	0.759786248207092
LINCSCP_81713		348	APOE	-1.56341	0.0452843084931374
LINCSCP_81713		351	APP	-0.662303	0.140181049704552
LINCSCP_81713		355	FAS	-0.305402	0.446553647518158
LINCSCP_81713		387	RHOA	-0.0153273	0.964301586151123
LINCSCP_81713		392	ARHGAP1	0.435339	0.240277245640755
LINCSCP_81713		427	ASAH1	-0.358281	0.349278211593628
LINCSCP_81713		466	ATF1	-0.495721	0.256181597709656
LINCSCP_81713		481	ATP1B1	0.0683026	0.849280536174774
LINCSCP_81713		501	ALDH7A1	-0.643	0.141172260046005
LINCSCP_81713		533	ATP6V0B	-0.171729	0.674537837505341
LINCSCP_81713		572	BAD	-0.0204838	0.953575670719147
LINCSCP_81713		581	BAX	0.124684	0.768863618373871
LINCSCP_81713		595	CCND1	-0.194787	0.553682684898376
LINCSCP_81713		596	BCL2	0.428289	0.341232091188431
LINCSCP_81713		622	BDH1	-0.211339	0.70341432094574
LINCSCP_81713		637	BID	0.210647	0.559643387794495
LINCSCP_81713		642	BLMH	-0.29171	0.563428640365601
LINCSCP_81713		644	BLVRA	-0.654374	0.0866242051124573
LINCSCP_81713		652	BMP4	-0.240082	0.552385568618774
LINCSCP_81713		664	BNIP3	-0.913757	0.0712143555283546
LINCSCP_81713		665	BNIP3L	-0.586396	0.112332157790661
LINCSCP_81713		670	BPHL	-0.207432	0.608222603797913
LINCSCP_81713		672	BRCA1	-0.209712	0.552806317806244
LINCSCP_81713		695	BTK	-0.0638708	0.888137936592102
LINCSCP_81713		701	BUB1B	0.164545	0.660768926143646
LINCSCP_81713		727	C5	1.04834	0.0184760317206383
LINCSCP_81713		780	DDR1	-1.05565	0.0395366437733173
LINCSCP_81713		808	CALM3	-0.183346	0.694316983222961
LINCSCP_81713		813	CALU	0.206847	0.633256554603577
LINCSCP_81713		823	CAPN1	-0.10398	0.762924313545227
LINCSCP_81713		831	CAST	-5.00482	0.0761081501841545
LINCSCP_81713		835	CASP2	1.04476	0.0477248094975948
LINCSCP_81713		836	CASP3	-0.587749	0.206816211342812
LINCSCP_81713		840	CASP7	-0.636809	0.0825266316533089
LINCSCP_81713		843	CASP10	-0.178671	0.639783680438995
LINCSCP_81713		847	CAT	-0.269499	0.470634996891022
LINCSCP_81713		868	CBLB	-0.55059	0.295097261667252
LINCSCP_81713		873	CBR1	0.901224	0.0803493484854698
LINCSCP_81713		874	CBR3	-1.93114	0.123050101101398
LINCSCP_81713		890	CCNA2	0.440487	0.206388399004936
LINCSCP_81713		891	CCNB1	0.13356	0.716106414794922
LINCSCP_81713		896	CCND3	0.197344	0.554557740688324
LINCSCP_81713		899	CCNF	1.31386	0.0189510863274336
LINCSCP_81713		902	CCNH	0.0811441	0.809033274650574
LINCSCP_81713		949	SCARB1	0.275726	0.482141047716141
LINCSCP_81713		958	CD40	-0.378361	0.36037465929985
LINCSCP_81713		960	CD44	-0.439762	0.226156741380692
LINCSCP_81713		965	CD58	-0.0836033	0.804498672485352
LINCSCP_81713		976	ADGRE5	0.245398	0.474587619304657
LINCSCP_81713		983	CDK1	0.639612	0.0828431025147438
LINCSCP_81713		991	CDC20	0.837016	0.0429802164435387
LINCSCP_81713		993	CDC25A	0.365159	0.28290668129921
LINCSCP_81713		994	CDC25B	0.0234901	0.955219924449921
LINCSCP_81713		998	CDC42	0.846962	0.0684434026479721
LINCSCP_81713		1001	CDH3	0.303176	0.396250307559967
LINCSCP_81713		1017	CDK2	-0.233342	0.538084864616394
LINCSCP_81713		1019	CDK4	0.444668	0.306392669677734
LINCSCP_81713		1021	CDK6	-1.37985	0.0067532733082771
LINCSCP_81713		1022	CDK7	-1.111	0.0259119272232056
LINCSCP_81713		1026	CDKN1A	0.394712	0.426234811544418
LINCSCP_81713		1027	CDKN1B	-0.804598	0.0927648544311523
LINCSCP_81713		1029	CDKN2A	-0.0305515	0.935739934444427
LINCSCP_81713		1050	CEBPA	-0.84989	0.0650621503591537
LINCSCP_81713		1052	CEBPD	0.401539	0.272863209247589
LINCSCP_81713		1062	CENPE	-0.247351	0.474378496408463
LINCSCP_81713		1070	CETN3	0.0622776	0.881254076957703
LINCSCP_81713		1111	CHEK1	-0.367216	0.33192041516304
LINCSCP_81713		1123	CHN1	-0.124366	0.799658119678497
LINCSCP_81713		1153	CIRBP	0.686061	0.12813101708889
LINCSCP_81713		1212	CLTB	1.12609	0.0620424598455429
LINCSCP_81713		1213	CLTC	0.673587	0.0964440479874611
LINCSCP_81713		1277	COL1A1	-0.0698886	0.839625358581543
LINCSCP_81713		1282	COL4A1	-1.22145	0.0181400701403618
LINCSCP_81713		1385	CREB1	0.603245	0.158496782183647
LINCSCP_81713		1398	CRK	0.202899	0.718927264213562
LINCSCP_81713		1399	CRKL	-0.772644	0.118815556168556
LINCSCP_81713		1429	CRYZ	-0.385915	0.260127872228622
LINCSCP_81713		1445	CSK	0.465427	0.390046149492264
LINCSCP_81713		1452	CSNK1A1	-0.401721	0.246687024831772
LINCSCP_81713		1454	CSNK1E	0.876689	0.0475501306355
LINCSCP_81713		1459	CSNK2A2	-0.449399	0.203368216753006
LINCSCP_81713		1465	CSRP1	-4.20825	0.0900851488113403
LINCSCP_81713		1500	CTNND1	0.0273585	0.939610064029694
LINCSCP_81713		1509	CTSD	-0.00121622	0.996958374977112
LINCSCP_81713		1514	CTSL	0.290708	0.469703763723373
