,liver_rho,intestine_mean_rho,immune_mean_rho,liver_minus_immune
CYP2C8,0.6142231453848841,0.3074871513378278,0.24962272199370125,0.3646004233911828
CYP2C9,0.6762169265143568,0.5611635621098141,0.1120985564813304,0.5641183700330265
SLCO1B1,0.3241843580125069,0.039444678549783674,0.11048187672676153,0.21370248128574537
ABCC2,0.4441556672892725,0.15511462016838112,0.059685768637539965,0.38446989865173253
CYP3A5,0.596378559324677,0.5929178182502925,0.26920531119884444,0.32717324812583254
