,target_mean_DS,control_mean_DS,target_minus_control
"CD4-positive, alpha-beta T cell",0.6543971017540623,0.060808588353258385,0.5935885134008039
"CD8-positive, alpha-beta T cell",0.610286963033098,0.0653898298672557,0.5448971331658423
enterocyte of epithelium of large intestine,0.5012578424365242,-0.015796279327253127,0.5170541217637773
enterocyte of epithelium of small intestine,0.28963850554611104,-0.07510665107173553,0.36474515661784657
extravillous trophoblast,0.6631388646641866,0.020525480810813915,0.6426133838533726
intestinal crypt stem cell,0.25475648253517824,-0.3360206361966983,0.5907771187318765
macrophage,0.5796459255416072,0.0693499337723381,0.5102959917692691
monocyte,0.6193276535327579,0.05743442222636123,0.5618932313063967
natural killer cell,0.5989818573378429,0.02682735988217063,0.5721544974556723
