cells_per_metacell,min_metacells,seed,cell_type,gene,rho
15,10,0,enterocyte of epithelium of small intestine,GSTA2,-0.06063863692299376
15,10,0,enterocyte of epithelium of small intestine,ABCB1,0.46867425553772324
15,10,0,enterocyte of epithelium of small intestine,ABCC2,0.5153450583845577
15,10,0,enterocyte of epithelium of small intestine,ABCC3,0.2312520861352507
15,10,0,enterocyte of epithelium of small intestine,SLCO1B1,
15,10,0,enterocyte of epithelium of small intestine,G6PC1,0.393548310067982
15,10,0,enterocyte of epithelium of small intestine,PCK1,0.23170283064084504
15,10,0,enterocyte of epithelium of small intestine,CPT1A,0.29398548440449573
15,10,0,enterocyte of epithelium of small intestine,NFKB1,0.1335503975055294
15,10,0,extravillous trophoblast,CYP3A4,-0.00672256880479337
15,10,0,extravillous trophoblast,CYP3A5,0.006536720899571723
15,10,0,extravillous trophoblast,CYP2B6,
15,10,0,extravillous trophoblast,CYP2C8,-0.00672256880479337
15,10,0,extravillous trophoblast,CYP2C9,-0.00952303290344614
15,10,0,extravillous trophoblast,CYP1A2,
15,10,0,extravillous trophoblast,CYP7A1,-0.010655972929816819
15,10,0,extravillous trophoblast,UGT1A1,
15,10,0,extravillous trophoblast,UGT1A6,
15,10,0,extravillous trophoblast,SULT2A1,-0.030205493690876502
15,10,0,extravillous trophoblast,GSTA1,-0.014344408355967704
15,10,0,extravillous trophoblast,GSTA2,-0.02043993038230484
15,10,0,extravillous trophoblast,ABCB1,0.03957303253647223
15,10,0,extravillous trophoblast,ABCC2,0.04492072156855862
15,10,0,extravillous trophoblast,ABCC3,-0.03069786305750053
15,10,0,extravillous trophoblast,SLCO1B1,-0.008240305262648573
15,10,0,extravillous trophoblast,G6PC1,-0.00952303290344614
15,10,0,extravillous trophoblast,PCK1,-0.008240305262648573
15,10,0,extravillous trophoblast,CPT1A,0.0049898921950090845
15,10,0,extravillous trophoblast,NFKB1,0.10053608531863843
15,10,0,hepatocyte,CYP3A4,0.6751182943503942
15,10,0,hepatocyte,CYP3A5,0.8331858209663681
15,10,0,hepatocyte,CYP2B6,0.7142682904067614
15,10,0,hepatocyte,CYP2C8,0.7907464761279086
15,10,0,hepatocyte,CYP2C9,0.8501666972081308
15,10,0,hepatocyte,CYP1A2,0.5109091152819973
15,10,0,hepatocyte,CYP7A1,0.401597412036375
15,10,0,hepatocyte,UGT1A1,0.1165745967160683
15,10,0,hepatocyte,UGT1A6,0.18552962751321442
15,10,0,hepatocyte,SULT2A1,0.640088629630537
15,10,0,hepatocyte,GSTA1,-0.057988474442719866
15,10,0,hepatocyte,GSTA2,0.09309677993325098
15,10,0,hepatocyte,ABCB1,0.610574858862985
15,10,0,hepatocyte,ABCC2,0.8047996801239093
15,10,0,hepatocyte,ABCC3,0.7151683481397865
15,10,0,hepatocyte,SLCO1B1,0.7937197053004025
15,10,0,hepatocyte,G6PC1,0.6629922997561686
15,10,0,hepatocyte,PCK1,0.6273038463332579
15,10,0,hepatocyte,CPT1A,0.6832155594375044
15,10,0,hepatocyte,NFKB1,0.6035410642661609
15,10,0,intestinal crypt stem cell,CYP3A4,0.15763219383009272
15,10,0,intestinal crypt stem cell,CYP3A5,0.42232489150325325
15,10,0,intestinal crypt stem cell,CYP2B6,0.3479048466918719
15,10,0,intestinal crypt stem cell,CYP2C8,-0.11907336006315464
15,10,0,intestinal crypt stem cell,CYP2C9,0.09178122350055926
15,10,0,intestinal crypt stem cell,CYP1A2,
15,10,0,intestinal crypt stem cell,CYP7A1,
15,10,0,intestinal crypt stem cell,UGT1A1,0.05868052171326663
15,10,0,intestinal crypt stem cell,UGT1A6,0.012534037901384697
15,10,0,intestinal crypt stem cell,SULT2A1,0.12769184943238335
15,10,0,intestinal crypt stem cell,GSTA1,0.3244587921666267
15,10,0,intestinal crypt stem cell,GSTA2,0.10089395463606841
15,10,0,intestinal crypt stem cell,ABCB1,0.3778833503296055
15,10,0,intestinal crypt stem cell,ABCC2,0.028797375951299865
15,10,0,intestinal crypt stem cell,ABCC3,0.31017557935837314
15,10,0,intestinal crypt stem cell,SLCO1B1,
15,10,0,intestinal crypt stem cell,G6PC1,0.04795050216508443
15,10,0,intestinal crypt stem cell,PCK1,0.2908569609818561
15,10,0,intestinal crypt stem cell,CPT1A,0.36553695640834394
15,10,0,intestinal crypt stem cell,NFKB1,0.389225152199909
15,10,0,macrophage,CYP3A4,0.12539940555580195
15,10,0,macrophage,CYP3A5,0.07746721773133786
15,10,0,macrophage,CYP2B6,0.08533628414663989
15,10,0,macrophage,CYP2C8,0.06853918147513077
15,10,0,macrophage,CYP2C9,0.10125026484990657
15,10,0,macrophage,CYP1A2,0.07742583147491183
15,10,0,macrophage,CYP7A1,-0.0041410171476251425
15,10,0,macrophage,UGT1A1,0.19085127778485228
15,10,0,macrophage,UGT1A6,0.06975449341513594
15,10,0,macrophage,SULT2A1,0.05760349819979051
15,10,0,macrophage,GSTA1,-0.00903782149266688
15,10,0,macrophage,GSTA2,0.009941018545186264
15,10,0,macrophage,ABCB1,0.02812210695958528
15,10,0,macrophage,ABCC2,0.07773699478770413
15,10,0,macrophage,ABCC3,-0.012649405241720549
15,10,0,macrophage,SLCO1B1,0.09078876297423887
15,10,0,macrophage,G6PC1,0.06229659959799434
15,10,0,macrophage,PCK1,0.08309918992295479
15,10,0,macrophage,CPT1A,-0.05348867484714605
15,10,0,macrophage,NFKB1,-0.04951240238252157
15,10,0,monocyte,CYP3A4,0.09809393778462192
15,10,0,monocyte,CYP3A5,0.12309852461189107
15,10,0,monocyte,CYP2B6,0.08286862837975174
15,10,0,monocyte,CYP2C8,0.07288918539747001
15,10,0,monocyte,CYP2C9,0.08336514105381075
15,10,0,monocyte,CYP1A2,0.10820650152584223
15,10,0,monocyte,CYP7A1,-0.009474042811697574
15,10,0,monocyte,UGT1A1,0.17737578042500218
15,10,0,monocyte,UGT1A6,0.04866631140476527
15,10,0,monocyte,SULT2A1,0.08629607416837459
15,10,0,monocyte,GSTA1,0.025937632465998707
15,10,0,monocyte,GSTA2,-0.0002661137914444013
15,10,0,monocyte,ABCB1,0.02615611268441893
15,10,0,monocyte,ABCC2,0.1410063482631288
15,10,0,monocyte,ABCC3,0.01895689556805856
15,10,0,monocyte,SLCO1B1,0.08465568835257031
15,10,0,monocyte,G6PC1,0.09381617049528675
15,10,0,monocyte,PCK1,0.06222300395784924
15,10,0,monocyte,CPT1A,-0.03589413412829075
15,10,0,monocyte,NFKB1,-0.048001712838430105
15,10,0,natural killer cell,CYP3A4,0.12274623700267032
15,10,0,natural killer cell,CYP3A5,0.11099261008598986
15,10,0,natural killer cell,CYP2B6,0.11969156579300763
15,10,0,natural killer cell,CYP2C8,0.09512068334473538
15,10,0,natural killer cell,CYP2C9,0.1124465648654541
15,10,0,natural killer cell,CYP1A2,0.14024366902749244
15,10,0,natural killer cell,CYP7A1,0.019977056650941447
15,10,0,natural killer cell,UGT1A1,0.08637079832995694
15,10,0,natural killer cell,UGT1A6,0.08562853200253494
15,10,0,natural killer cell,SULT2A1,0.10976510085816618
15,10,0,natural killer cell,GSTA1,0.008298588562437382
15,10,0,natural killer cell,GSTA2,0.03265732691797786
15,10,0,natural killer cell,ABCB1,0.0009343998550967675
15,10,0,natural killer cell,ABCC2,0.15080081942101187
15,10,0,natural killer cell,ABCC3,0.08796019488271314
15,10,0,natural killer cell,SLCO1B1,0.17311113951657442
15,10,0,natural killer cell,G6PC1,0.1334378953821225
15,10,0,natural killer cell,PCK1,0.05904506479464869
15,10,0,natural killer cell,CPT1A,-0.01347475590980326
15,10,0,natural killer cell,NFKB1,-0.005825795897817634
15,10,42,"CD4-positive, alpha-beta T cell",CYP3A4,0.11411811051248928
15,10,42,"CD4-positive, alpha-beta T cell",CYP3A5,0.16188861409364674
15,10,42,"CD4-positive, alpha-beta T cell",CYP2B6,0.17082312575800915
15,10,42,"CD4-positive, alpha-beta T cell",CYP2C8,0.132877143615232
15,10,42,"CD4-positive, alpha-beta T cell",CYP2C9,0.18055059078530172
15,10,42,"CD4-positive, alpha-beta T cell",CYP1A2,0.03757728718699633
15,10,42,"CD4-positive, alpha-beta T cell",CYP7A1,-0.004780645253474295
15,10,42,"CD4-positive, alpha-beta T cell",UGT1A1,0.04587899487717104
15,10,42,"CD4-positive, alpha-beta T cell",UGT1A6,0.023329148995757727
15,10,42,"CD4-positive, alpha-beta T cell",SULT2A1,0.11349689753440079
15,10,42,"CD4-positive, alpha-beta T cell",GSTA1,0.00879320568475681
15,10,42,"CD4-positive, alpha-beta T cell",GSTA2,0.031257376302801065
15,10,42,"CD4-positive, alpha-beta T cell",ABCB1,0.024003831381317252
15,10,42,"CD4-positive, alpha-beta T cell",ABCC2,0.1548410974337708
15,10,42,"CD4-positive, alpha-beta T cell",ABCC3,0.1553147889667458
15,10,42,"CD4-positive, alpha-beta T cell",SLCO1B1,0.127106428284889
15,10,42,"CD4-positive, alpha-beta T cell",G6PC1,0.07510146479368654
15,10,42,"CD4-positive, alpha-beta T cell",PCK1,0.08741218825289815
15,10,42,"CD4-positive, alpha-beta T cell",CPT1A,0.028436197399625114
15,10,42,"CD4-positive, alpha-beta T cell",NFKB1,0.043812871455329375
15,10,42,"CD8-positive, alpha-beta T cell",CYP3A4,0.040152487570941836
15,10,42,"CD8-positive, alpha-beta T cell",CYP3A5,0.07411675059744278
15,10,42,"CD8-positive, alpha-beta T cell",CYP2B6,0.061882164421345774
15,10,42,"CD8-positive, alpha-beta T cell",CYP2C8,0.05192373867827957
15,10,42,"CD8-positive, alpha-beta T cell",CYP2C9,0.05958313536936349
15,10,42,"CD8-positive, alpha-beta T cell",CYP1A2,0.0016468170919345328
15,10,42,"CD8-positive, alpha-beta T cell",CYP7A1,-0.0054482763408501686
15,10,42,"CD8-positive, alpha-beta T cell",UGT1A1,0.02861931739652326
15,10,42,"CD8-positive, alpha-beta T cell",UGT1A6,0.08550470293367675
15,10,42,"CD8-positive, alpha-beta T cell",SULT2A1,0.00342223833135598
15,10,42,"CD8-positive, alpha-beta T cell",GSTA1,0.014906808552076106
15,10,42,"CD8-positive, alpha-beta T cell",GSTA2,0.009616130117857533
15,10,42,"CD8-positive, alpha-beta T cell",ABCB1,-0.017205120968854216
15,10,42,"CD8-positive, alpha-beta T cell",ABCC2,0.03610018413258445
15,10,42,"CD8-positive, alpha-beta T cell",ABCC3,0.043519304368961106
15,10,42,"CD8-positive, alpha-beta T cell",SLCO1B1,0.05959875150483239
