cells_per_metacell,min_metacells,seed,frobenius_distance,spearman_of_decoupling,jaccard_top5
15,10,0,1.2428713567945828,0.9533834586466164,1.0
15,10,42,1.3261876287495882,0.9473684210526315,1.0
15,10,123,1.2575758496167972,0.9834586466165413,1.0
15,20,0,1.2428713567945828,0.9533834586466164,1.0
15,20,42,1.3261876287495882,0.9473684210526315,1.0
15,20,123,1.2575758496167972,0.9834586466165413,1.0
30,10,0,0.7360497714840901,0.9759398496240601,1.0
30,10,42,0.0,1.0,1.0
30,10,123,0.7242195484723667,0.9774436090225563,1.0
30,20,0,0.7360497714840901,0.9759398496240601,1.0
30,20,123,0.7242195484723667,0.9774436090225563,1.0
60,10,0,2.159515496610637,0.9593984962406013,1.0
60,10,42,2.221477841674081,0.9548872180451128,0.6666666666666666
60,10,123,2.0425495504164837,0.9729323308270676,0.6666666666666666
60,20,0,2.159515496610637,0.9593984962406013,1.0
60,20,42,2.221477841674081,0.9548872180451128,0.6666666666666666
60,20,123,2.0425495504164837,0.9729323308270676,0.6666666666666666
