,ALB,TF,APOA1,APOA2,APOB,HP,FGB,F2_ENSG00000180210,SERPINA1,TTR,HNF4A,HNF1A,FOXA1,FOXA2,CEBPA,GAPDH,ACTB,B2M,PPIA,HPRT1
"CD4-positive, alpha-beta T cell",-0.21723778433255847,0.18531587534885413,-0.28200716150696675,-0.4602483855384215,0.17374450906344338,-0.20354248684529763,-0.1443572564090994,0.21931600679174726,-0.5299841763055133,-0.15352408253019406,0.6063967653974143,0.4896630039199579,0.17385987448934642,0.00396571789473775,-0.1535815750945227,-0.40995892433203673,-0.3654191963397354,-0.2501007387665699,-0.3700977917694653,0.5606862931210416
"CD8-positive, alpha-beta T cell",-0.09830643249061785,0.27651278172343907,-0.22471101213819134,-0.3686249218998716,0.299404996999835,-0.1182271764713326,-0.048123410746520004,0.34206144535045935,-0.428029541050671,-0.12556180317225837,0.733690608082107,0.5142810350349423,0.1915239846768161,0.049048454852932244,-0.1791223415511906,-0.5309509387414769,-0.500454172636367,-0.3548009849951698,-0.4868301344913342,0.5024253558168809
enterocyte of epithelium of large intestine,-0.12586696786918755,0.34970461309388073,-0.36752935584359125,,0.3926859167782472,-0.043495431265778144,0.11868474741779221,0.4356349366184525,-0.5010890842845616,-0.0565617749996844,0.8052048623432028,0.3819213559074418,-0.03520332423271852,-0.11663084967794349,-0.44274743560923513,-0.8019766890937385,-0.5704861307187226,-0.5666779055108497,-0.4750946099342591,0.36748927945086296
enterocyte of epithelium of small intestine,,0.33182845102592673,-0.49248495366796136,-0.41517837542874053,-0.13690504450620028,0.09698150791521779,,,-0.8865571020831265,0.05636190189252184,0.49900414818018085,0.2824188716863962,0.09367516478908794,0.2248091812467023,-0.28678769920393876,-0.4998471547720013,-0.9677851112465382,-0.9330315760526448,-0.4379585503202279,0.5489214997319352
extravillous trophoblast,-0.04046021925287571,0.2850807500039983,-0.061415396802305955,-0.27258237540219676,0.4178298015203624,-0.04558826745776051,0.06592182085548508,0.3207853424351635,-0.4300273696586304,-0.023952147172571832,0.83013263357068,0.588469429736762,,0.07009892001685972,-0.22892612317388966,-0.6106988971161598,-0.49277990722075315,-0.4478218242215116,-0.5017211560480231,0.4608205377738231
intestinal crypt stem cell,,,-0.6154364921315618,,-0.15955561458124606,-0.13981921777689726,,0.5657497622253413,-0.9353284471054442,0.0638932917305645,0.1543617235582292,-0.03366530490862296,-0.25057507868626905,-0.27622194874971506,-0.8055159520948313,-1.177729149119783,-1.1677191372407947,-1.0256979779628912,-1.0892996248117877,-0.11744056486479898
macrophage,-0.13823257177058057,0.2441666209566419,-0.23638388231268795,-0.39555234338520445,0.29261855986156626,-0.1294962133264101,-0.07369022655502219,0.22014650148110243,-0.3630358244434051,-0.1953072893461692,0.7125209165067781,0.38990614096791465,0.10545845168267562,0.04238741172879334,-0.06946480461332132,-0.38780014172901456,-0.37716163769265454,-0.2615944354034127,-0.37217559263643213,0.5741071651915614
monocyte,-0.17234471779207847,0.16339278890600345,-0.25418073565897686,-0.40670683044808703,0.2312285595970804,-0.16399117326808177,-0.12505843141706113,0.2362730547327705,-0.3190950717407075,-0.2208567277579515,0.6740447635302954,0.43144930942764564,0.0562747104482704,-0.00812896308685878,-0.0454049533949514,-0.33454249785747625,-0.29126176213580135,-0.1986731545251269,-0.3165739950450476,0.5757431506720814
natural killer cell,-0.13597801683684738,0.21053118597755743,-0.24460761953394844,-0.3827235553257447,0.2827872097355885,-0.1769806620542581,-0.0806108028319829,0.22525003637641772,-0.4545067147542272,-0.18211134709297777,0.6889576914251697,0.3603817928187605,0.10628711463567449,-0.032648156067364605,-0.14482259883235132,-0.4468394969938718,-0.4092531679543821,-0.324004576209722,-0.4010292660844956,0.5438268658471132
