cell_type,dataset_id,n_cells,n_donors
natural killer cell,babbf9f3-f482-45a5-ba76-c41f4c2f503e,2,1
natural killer cell,cd4c96bb-ad66-4e83-ba9e-a7df8790eb12,2,2
natural killer cell,1d89d081-f43d-401a-be76-bd6ef9259f4e,1,1
natural killer cell,68b6114f-e990-4033-bfb3-c35536633aaa,1,1
natural killer cell,7bb64315-9e5a-41b9-9235-59acf9642a3e,1,1
natural killer cell,86282760-5099-4c71-8cdd-412dcbbbd0b9,1,1
natural killer cell,b3c9904b-2ffd-4038-8620-ee1c5b072e9c,1,1
natural killer cell,bdd109f1-ca27-45dc-bb9f-473008449428,1,1
natural killer cell,c2a461b1-0c15-4047-9fcb-1f966fe55100,1,1
natural killer cell,ccfdcad0-7104-46b9-addf-fd66a2a15907,1,1
natural killer cell,eb499fd8-7000-419f-8854-926b9b61b11f,1,1
